Lale Devri*https://imageserver.kitapyurdu.com/select.php?imageid=110001&width=500&isWatermarked=true*2005-03-31* 5,56*Milletlerin tarihlerinde hezimet sahneleri kadar, zafer tabloları da vardır. Karanlık dönemlere rastlandığı gibi, aydınlığın uç verdiği, ışık ve renk huzmelerinin esrarengiz bir görünüme büründürdüğü zaman dilimlerine de tesadüf edilir. Lale, bir devre adını veren sembol çiçek. Üçüncü Ahmet, barışsever bir padişah. Nevşehirli Damat İbrahim Paşa, yenilik taraftarı. Sanata, edebiyata, mimariye aşık. Padişahla veziri, bir dalın iki meyvesi. "Lale Devri", göz kamaştırıcı manzaralarıyla, ikisinin de icraatını hüzün verici çizgilerle ortaya koyuyor. Bu eser, lale bahçelerinin, şeyda bülbüllerinin ve hazin bitişin hikayesidir.*138* Ahmet Refik Altınay*9753623185*2. Baskı*
Cenab Şahabeddin*https://imageserver.kitapyurdu.com/select.php?imageid=0&width=500&isWatermarked=true*yayinlanma tarihi belirtilmemis* 5,09*Yeni Türk şiirinin ve nesrinin kurucularından Cenap Şehabeddin'i daha yakından tanıma imkanı bulacağınız eserde, o meşhur dizesiyle 'yolunu kaybetmiş bir kuş gibi olan kar'ın esintilerini hissedecek, dil zevkinizi arttıracaksınız.*176*Prof. Dr. Hasan Akay*9753623642*1. Baskı*
Eşrefoğlu Rumi*https://imageserver.kitapyurdu.com/select.php?imageid=95001&width=500&isWatermarked=true*yayinlanma tarihi belirtilmemis* 5,09*Bir 'ezel şahinini' koluna almış yürüyen şair, mutasavvıf Eşrefoğlu Rumi'nin birbirinden anlamlı ve etkileyici şiirlerini okuyacağınız eserde, aynı zamanda hayatını bulacak, bu eskimez sesin büyüsüne kapılacaksınız.*168* Nurettin Albayrak*9753624007*1. Baskı*
Gevheri*https://imageserver.kitapyurdu.com/select.php?imageid=85001&width=500&isWatermarked=true*yayinlanma tarihi belirtilmemis* 5,09*Karacaoğlan ve Aşık Ömer'le aynı çağda yaşamış olan Gevheri'nin şiirleri 17. Yüzyıldan 20. Yüzyıl'a kadar Anadolu, Rumeli ve Azerbaycan'da sevilerek okunmuştur. Bu kitapta Gevheri'nin hayatını ve en güzel şiirlerini bulacaksınız. *112* Nurettin Albayrak*9753624050*1. Baskı*
Yunus Emre*https://imageserver.kitapyurdu.com/select.php?imageid=95002&width=500&isWatermarked=true*yayinlanma tarihi belirtilmemis*Kitabin fiyati belirtilmemis*Bizi içimizdeki ben'e çağıran, yüzyıllardır solmayan sesiyle gönül dünyamızın yapı taşlarını koyan Yunus Emre'nin en unutulmaz şiirlerini bulacağınız bu kitap, sizi Anadolu'nun büyük ereninin hayatı ve ilhamıyla buluşturacak. *176*Prof. Dr. İskender Pala*9752631363*1. Baskı*
Dadaloğlu*https://imageserver.kitapyurdu.com/select.php?imageid=85002&width=500&isWatermarked=true*yayinlanma tarihi belirtilmemis* 5,09*Halk şiirimizin unutulmaz simalarından Dadaloğlu'nun temiz Türkçesiyle ahenkten ahenge atlayan dili Sazın tellerini şiiriyle süsleyen bu yanık yürekli halk şairinin şiirlerinden seçmeleri ve hayatını bu kitapta bulacak, ou daha iyi tanıyacaksınız. *176* Nurettin Albayrak*975362445X*1. Baskı*
Sanat Ve İnsan*https://imageserver.kitapyurdu.com/select.php?imageid=110004&width=500&isWatermarked=true*yayinlanma tarihi belirtilmemis* 6,30*Sanat, insanlara has bir faaliyettir ve daima insanla içiçe olmuştur. Medeniyetin aynası olarak kabul edilen sanata farklı bir bakışı bulacağınız bu kitapta, insan ile görsel ve işitsel sanatlar sorgulanıyor. *272*Dr. Vedat Erkul*9753622015*1. Baskı*
Şiirde Metafizik Gerçek*https://imageserver.kitapyurdu.com/select.php?imageid=280002&width=500&isWatermarked=true*yayinlanma tarihi belirtilmemis*Kitabin fiyati belirtilmemis*Çağdaş Türk şiirinin ustalarından Sedat Umran'ın, "Şiir"in metafiziğini irdelediği bir şiir rehberi… Şiirin gizini çözme denemeleri diyebileceğimiz bu yazılarda ağırlık, şiirdeki metafizik gerçeğe kaydırılmıştır. *239* Sedat Umran*9753622430*1. Baskı*
Goethe Ve İslamiyet*https://imageserver.kitapyurdu.com/select.php?imageid=110005&width=500&isWatermarked=true*yayinlanma tarihi belirtilmemis* 4,17*Eğer Goethe'nin eserleri inceden inceye araştırılırsa, İslam dininin onu pek çok yönden cezbettiği anlaşılır. Goethe'nin Kur'an'a ve İslam'a olan hayranlığını ifade eden eserler, Goethe'nin hayatına ve şiirlerine sinmiş olan gerçekleri açığa çıkarıyor*155*Yrd. Doç. Dr Bayram Yılmaz*9753621965*1. Baskı*
Özgürlüğün Bittiği Yerde*https://imageserver.kitapyurdu.com/select.php?imageid=105001&width=500&isWatermarked=true*yayinlanma tarihi belirtilmemis* 5,09*Yazı, bir özgürlük alanıdır. Gazete yazılarını toplayan Ayla Çeliktürk, özgürlük, emek, Kürt sorunu, başörtüsü gibi sosyal konulara eğiliyor. 'İdrak sapmaları'nın özgürlük olarak adlandırılamayacağını, bu yazıları okurken daha iyi anlıyoruz. *200* Ayla Çeliktürk*9753621248*1. Baskı*
Gök Nazara Geldi*https://imageserver.kitapyurdu.com/select.php?imageid=85003&width=500&isWatermarked=true*yayinlanma tarihi belirtilmemis*Kitabin fiyati belirtilmemis*Dünyaya ve aşka. Bize varolmaktan ve varolmamaktan bahsedenlere, ölümlere ve tek ölümsüze. Gurbete, hasrete ve acıya, karda açan çiçeğe ve bir güne ömür sığdıran küçük kelebeğe. Tüm güzelliklere ithaf edilen bu denemeleri zevkle okuyacaksınız. *125* Ayşe Nur Menekşe*9753623758*1. Baskı*
Günün Ötesi*https://imageserver.kitapyurdu.com/select.php?imageid=85004&width=500&isWatermarked=true*yayinlanma tarihi belirtilmemis*Kitabin fiyati belirtilmemis*Türk edebiyatının geleceğe kalacak denemelerine imza atan Ali Çolak, o sevgi dolu, ince ve narin bakışıyla yine insanı, düşleri, aşk ve kitapları anlatıyor bize. Günün içinde sıkışıp kalmak istemeyenler, "günün ötesi"ne ulaşmayı arayanlar için. *125* Ali Çolak*975362333X*1. Baskı*
Geçmişten Günümüze Latifeler Nükteler*https://imageserver.kitapyurdu.com/select.php?imageid=55002&width=500&isWatermarked=true*yayinlanma tarihi belirtilmemis*Kitabin fiyati belirtilmemis*Osmanlı aydınlarından Faik Reşad Bey'in "Külliyat-ı Letaif"inden Her biri zeka ve zerafet ürünü olan bu latifeler güldürürken, düşündürüyor. *166* Faik Reşad*9753621841*2. Baskı*
Bizim Duvarlar*https://imageserver.kitapyurdu.com/select.php?imageid=55003&width=500&isWatermarked=true*yayinlanma tarihi belirtilmemis*Kitabin fiyati belirtilmemis*Mizahı, cinsellik ve ideolojiye boğup, toplum dimağını lekelemeye çalışan bayağı bir tarza karşı "Bizim Duvarlar"ımızı ördük kelime kelime… Diyen yazarın kaleminden Türkçenin gücünün ince nüktelerle tebessümlerimize sunulduğu bu kitapta, politikadan sanata, her türlü insani faaliyeti içine alan nezih bir mizah ortamı bulacaksınız. *200* Ahmet Emin Fidan*9753621876*3. Baskı*
Son Duruşma*https://imageserver.kitapyurdu.com/select.php?imageid=85005&width=500&isWatermarked=true*yayinlanma tarihi belirtilmemis*Kitabin fiyati belirtilmemis*Gerek üslubu, gerek içeriğiyle Tiyatroya farklı bir ses getirecek olan 'Son Duruşma' başkalarının aynasında kendi cürümünü gören ve ürken çaresiz insanların çırpınışını anlatıyor. Acaba bu 'duruşma'dan yüreklere su serperek bir karar çıkacak mı? *128* Ekrem Dumanlı*9753623011*1. Baskı*
Evrak-ı Eyyam*https://imageserver.kitapyurdu.com/select.php?imageid=110006&width=500&isWatermarked=true*yayinlanma tarihi belirtilmemis* 7,41*Servet-I Fünun dönemindeki şiir estetiğinin kurucusu sayılan Cenab Şehabeddin, aynı zamanda 'Sanatkarane nesrin' kurucularındandır. Yahya Kemal'in "sağlam mantığıyla bir şaheser" olarak adlandırdığı "Evrak-ı Eyyam" şimdi yeni harflere kazandırıldı. Güzel Türkçemizin tadını yakalamak için. *300* Cenab Şahabeddin*9753623741*1. Baskı*
Tanzimattan Günümüze Edebiyatçılarımızın Çocukluk Hatıraları*https://imageserver.kitapyurdu.com/select.php?imageid=105002&width=500&isWatermarked=true*yayinlanma tarihi belirtilmemis*Kitabin fiyati belirtilmemis*Çocukluk, içimizde bir başka ülkedir. Edebiyatçılarımızın, Ziya Paşa'dan Ziya Osman Saba'ya, bir çoğunun ilginç çocukluk hatıralarını bulacağınız kitap, benzeri olmayanlardan zevkli, bilgi dolu bir çalışma… *310* Mehmet Nuri Yardım*9753623240*3. Baskı*
Çilenin Böylesi*https://imageserver.kitapyurdu.com/select.php?imageid=110007&width=500&isWatermarked=true*yayinlanma tarihi belirtilmemis* 11,11*"Düşünüyorum da: Hapishane yıllarından bana ne kaldı? Basit bir ders= Samimi olmak… İnsan samimi olunca sonradan hata yaptığını anlasa bile pişman olmuyor. Ben daha olayın ikinci günü hata yaptığımı anlamıştım" diyen, genç yaşta cezaevine giren yazarın, devrin meşhur fikir adamlarıyla birlikte yaşadığı hatıralar. *368* Hüseyin Üzmez*9757544999*4. Baskı*
Şu Bizimkiler*https://imageserver.kitapyurdu.com/select.php?imageid=280003&width=500&isWatermarked=true*yayinlanma tarihi belirtilmemis*Kitabin fiyati belirtilmemis*Görünüşte bizden pek farklı olmayan insanlar… Ama onlar gelecek nesillere ışık olabilmek ve onları çeşitli ideolojilerin her türlü tuzağından koruyabilmek için bütün şimşekleri, paratoner gibi üzerlerine çekmişler. İşte, fikir ve mücadele adamlarımızın bilinmeyen ilginç yönlerini, Hüseyin Üzmez'in akıcı uslubuyla, kimi zaman tebessüm ederek zevkle okuyacağınız bu eserde bulabileceksiniz. *454* Hüseyin Üzmez*9753620038*5. Baskı*
Deli Deli Esintiler*https://imageserver.kitapyurdu.com/select.php?imageid=95003&width=500&isWatermarked=true*yayinlanma tarihi belirtilmemis* 9,26*Yazmış olduğu hatıra türünden kitaplar ülkemizdeki gariplikleri gözler önüne sererek bizi kimi zaman ağlatmayı kimi zaman güldürmeyi başaran Hüseyin Üzmez, bu kitabında yine tiryakiliğimizi pekiştiriyor. Deli Deli Esintiler'de 1940'lar var, 90'lı yılların gerçekleri, çelişkileri, yanlışları, hüzünleri, 28 Şubat sürecinden Hac yolculuğuna uzanan bir çeşitlilik içinde Hüseyin Üzmez'in nefis tahlilleri. Hakikat aşkının nükteyle birleşimi bizi 'Deli Deli Esintiler'e sürüklüyor. *328* Hüseyin Üzmez*9753624204*1. Baskı*
Direnen Saraybosna*https://imageserver.kitapyurdu.com/select.php?imageid=85006&width=500&isWatermarked=true*1998-04-01* 5,32*Bir Müslüman-Boşnak entellektüeli olan Münir Gavrankapetanoviç, Ali İzzetbegoviç'in de yakın dava arkadaşıdır. 1992-94 yılarında ailesiyle beraber yaşadığı Sarayevo kuşatmasını, özgün üslubu ve güçlü gözlem gücüyle aktarıyor. Saraybosna'da neler yaşandığını birinci ağızdan öğrenmek isteyenlere… *205* Münir Gavrankapetanoviç*9753623356*1. Baskı*
Mülteci Komünist*https://imageserver.kitapyurdu.com/select.php?imageid=95004&width=500&isWatermarked=true*yayinlanma tarihi belirtilmemis*Kitabin fiyati belirtilmemis*Eski bir TKP'linin, Demirperde ülkelerinde geçen 44 yılın anılarıyla yoğurarak sunduğu hatıraları, sevdaları, pişmanlıkları… "1996-Türkiye Yazarlar Birliği-Yılın Hatıra Kitabı" ödülünü alan şaşırtıcı ve sürükleyici bir kitap… *520* Osman Rauf Alper*975362185X*2. Baskı*
Doğru Tarihe Doğru*https://imageserver.kitapyurdu.com/select.php?imageid=85007&width=500&isWatermarked=true*yayinlanma tarihi belirtilmemis*Kitabin fiyati belirtilmemis*Bugünümüzü belirleyen, yakın tarihimizdir. Kimi zaman yersiz övgüler ve övgülerle yaklaşılan yakın tarihi "doğru" biçimde tesbit etmeye çalışan eser, zihnimizdeki sisleri dağıtıyor. Araştırmacı yazar Burhan Bozgeyik'in hatalardan sekmeyen kalemiyle. *240* Burhan Bozgeyik*9753621948*3. Baskı*
Mehmetçik*https://imageserver.kitapyurdu.com/select.php?imageid=105003&width=500&isWatermarked=true*yayinlanma tarihi belirtilmemis*Kitabin fiyati belirtilmemis*Sina'dan Galiçya'ya, Mehmetçiğin inanılmaz insanlığı, fedakarlığı, kahramanlıkları. Onun akıl almaz hikayesi, yarınlara tarih şuuru ile gidebileceğini bilenlere çok şey anlatacaktır. *246* Recep Şükrü Apuhan*9753622465*2. Baskı*
Öteki Menderes*https://imageserver.kitapyurdu.com/select.php?imageid=110008&width=500&isWatermarked=true*yayinlanma tarihi belirtilmemis*Kitabin fiyati belirtilmemis*Menderes'e yakın bulunmuş eski DP milletvekili Gıyasettin Emre'nin birinci elden hatıralarına dayanılarak hazırlanmış eser, Menderes'in 'gizli yüzü'nü yansıtan manevi yönüne dikkat çekiyor. Batı, Menderes'in "büyük Türkiye" modelini kendi çizdiği sınırların ötesinde görünce nasıl tavır almıştı? Bir başbakanın idama gidişinin perde arkası… *216* Recep Şükrü Apuhan*9753622269*2. Baskı*
Gazetecinin İnfazı*https://imageserver.kitapyurdu.com/select.php?imageid=110009&width=500&isWatermarked=true*yayinlanma tarihi belirtilmemis*Kitabin fiyati belirtilmemis*Türk gazeteciliğinin ilklerinden Ali Kemal'in ilginç hayatı. Bir dönem İçişleri Bakanlığı da yapan Ali Kemal Bey'in, linç edilişine kadar hayatını mercek altına alan çalışma, iletişim doktoru Osman Özsoy tarafından gerçekleştirildi. Türk basın tarihine ışık tutacak eser, aynı zamanda yakın tarihimizin el değmemiş bir yönünü aydınlatıyor. *312* Osman Özsoy*9753622454*1. Baskı*
Türkistan*https://imageserver.kitapyurdu.com/select.php?imageid=55004&width=500&isWatermarked=true*yayinlanma tarihi belirtilmemis*Kitabin fiyati belirtilmemis*Türkistan'ın, Rus işgaline uğrayışından Türki Cumhuriyetleri'nin doğuşuna kadar bilinmeyen tarihi Türkiye'de, Orta Asya tarihi üzerine şimdiye kadar yapılmış en iyi çalışmalardan biri. Orta Asya üzerindeki Rus-İngiliz gizli anlaşmaları ilk defa Yalçınkaya'nın araştırmasında ortaya konuluyor. *480*Dr. Alaeddin Yalçınkaya*9753622555*1. Baskı*
Çerkes Ethem Hain mi Kahraman mı?*https://imageserver.kitapyurdu.com/select.php?imageid=85008&width=500&isWatermarked=true*yayinlanma tarihi belirtilmemis*Kitabin fiyati belirtilmemis*Belgelere ve şahitlere dayanarak Çerkez Ethem'e nasıl hain damgası vurulduğunu anlatıyor Bozgeyik. Çerkez Ethem'in en büyük arzusu vatanına dönüp muhakeme edilmekti. Ama ömrü buna yetmedi. Yakın tarihin perde arkasını bu kitaptan takip edebilirsiniz. *230* Burhan Bozgeyik*9753621647*2. Baskı*
Osmanlı'da Modernleşme Sancısı*https://imageserver.kitapyurdu.com/select.php?imageid=85009&width=500&isWatermarked=true*yayinlanma tarihi belirtilmemis*Kitabin fiyati belirtilmemis*Osmanlı devletinin gerileme sıkıntısıyla ilerleme sancısını beraber yaşadığı bir dönemde Türkiye'de bulunan Ubicini'nin gözlemleri, Avrupa'da büyük ilgiyle karşılanmıştı. Eserini Ali Paşa'ya ithaf eden Ubicini, Osmanlı'nın reform çalışmalarını bir tarihçi gözüyle kaydediyor. *385* M. A. Ubicini*9753622829*1. Baskı*
Esvedeyn*https://imageserver.kitapyurdu.com/select.php?imageid=110010&width=500&isWatermarked=true*yayinlanma tarihi belirtilmemis* 6,02*Esvedeyn: Akrep ve yılan… İki sevdalı… İki esmer… İki "ben"… Akrep: Ben garip… Yıla: Berzaha benzeyen ince uzun bedeninde kıvrandığım yalan; içimde kıvrım kıvrım uzayan gerçek…Esvedeyn: "Ben"in, "ben"deki seyri diye açıklıyor şair kitabının adını. Artık bütün iş, şairi ve şiirini tanımaya kalıyor.*112* Mustafa Saka*9753624021*1. Baskı*
Künyemize Aşk Yazıldı*https://imageserver.kitapyurdu.com/select.php?imageid=280004&width=500&isWatermarked=true*yayinlanma tarihi belirtilmemis*Kitabin fiyati belirtilmemis*M.Atilla Maraş'ın şiiri, sonsuza uzayan gökdelenlerin arasından, buz tutmuş anıları uyandırarak süzülüp gelir. "Aşktan güzel ne vardır?" diyen şairin, künyesine aşkın yazılı olduğunu söylemesi, sıradan bir ifade değildir. Aklı ve duyguyu ustalıkla kaynaştıran şair, kültür ve yüreğin ortak ürünü olan bu seçme şiirleriyle sizi farklı boyutlara davet ediyor. *129* Mehmet Atilla Maraş*9753622844*2. Baskı*
Safahat*https://imageserver.kitapyurdu.com/select.php?imageid=110011&width=500&isWatermarked=true*yayinlanma tarihi belirtilmemis*Kitabin fiyati belirtilmemis*Safahat, Müslüman Türk Milletinin, İslam sayesinde eriştiği ruh ve fikir olgunluğunun, ahlak ve seciye sağlamlığının, cesaret ve yiğitliğinin destanıdır. İstiklal Marşı şairimiz Mehmet Akif'in yıllardır basılmakta olan bu nefis eseri, bir şiir klasiğidir. Uzun yıllarını bu esere vakfetmiş olan M.Ertuğrul Düzdağ'ın titiz çalışmalarının sonucunda elde ettiği en doğru metni sizlere sunmaktan kıvanç duyarız. *576* Mehmet Akif Ersoy*9757544769*1. Baskı*
Sevdalı Şiirler 2*https://imageserver.kitapyurdu.com/select.php?imageid=105004&width=500&isWatermarked=true*yayinlanma tarihi belirtilmemis* 9,26*Öyle şiirler var ki, okur geçersiniz. Öyleleri de vardır ki, yudum yudum içerek şairin ruhundan fışkıran duygu çağlayanını gönlünüze akıtırsınız. Hekimoğlu İsmail ile Ali Erkan Kavaklı tarafından derlenen Sevdalı Şiirler'de, dilden dile dolaşarak hafızalarda daima canlılığını koruyan, yudum yudum içeceğiniz seçme şiirleri okumanın doyumsuz hazzını yaşayacaksınız. *172*TİMAŞ YAYINLARI*9752630123*10. Baskı*
Doğu Batı Divanında Cennet Bahsi*https://imageserver.kitapyurdu.com/select.php?imageid=0&width=500&isWatermarked=true*yayinlanma tarihi belirtilmemis*Kitabin fiyati belirtilmemis*Eğer Goethe'nin eserleri inceden inceye araştırılırsa, İslam dininin onu pek çok yönden cezbettiği anlaşılır. Goethe'nin Kur'an'a ve İslam'a olan hayranlığını ifade eden eserler, Goethe'nin hayatına ve şiirlerine sinmiş olan gerçekleri açığa çıkarıyor. *148*Yrd. Doç. Dr Bayram Yılmaz*9753622163*1. Baskı*
Aşk Ölümcül Bir Hülyadır*https://imageserver.kitapyurdu.com/select.php?imageid=95005&width=500&isWatermarked=true*yayinlanma tarihi belirtilmemis* 5,56*İbni Arabi, kainatın aşkla yaratıldığını ifade etmiştir. Nedir aşk?.. Ferhat'a dağı deldiren, Mecnun'u "Leyla" diye dillendiren şey mi? Veya, Fuzuli'nin deyişiyle, alemde varolan herşey mi?Yoksa Genç'in, bütünüyle aşka adadığı bu kitabında okuyacağınız gibi, cefa ülkesinde umudun rüyası mı? Aşk! Sadece insan için mi?*176*Prof. Dr. Nurullah Genç*9753623666*6. Baskı*
Yağmur*https://imageserver.kitapyurdu.com/select.php?imageid=8244560&width=500&isWatermarked=true*2019-03-04* 20,00*Nurullah Genç, Yağmur′la Gelen Adam... Ona bu sıfatı kazandıran 1990 yılında yazdığı ve birincilik ödülü aldığı Yağmur isimli şiirdi. YAĞMUR′ Nurullah Genç′e 1990 Türkiye Diyanet Vakfı N′at-ı Şerif Büyük Ödülü′nü kazandıran ′Yağmur′ şiiriyle birlikte şairin diğer seçme şiirlerinin yer aldığı bir eserdir.Yağmur Sensiz, ufuklarıma yalancı bir tan düştüSensiz, kıtalar boyu uzayan vatan düştüBir kölelik ruhuna mahkum olunca gönülYüzyıllardır dorukta bekleyen sultan düştü… *224*Prof. Dr. Nurullah Genç*9753621861*24. Baskı*
Rüveyda*https://imageserver.kitapyurdu.com/select.php?imageid=1185372&width=500&isWatermarked=true*2019-03-04* 12,58*Nurullah Genç, Rüveyda adlı şiir kitabında en çok beğenilen şiirlerine yer veriyor. Şairin yılların birikimini bir araya getirdiği kitabına adını veren “Rüveyda”ya en güzel seslenişini şu dizelerde görüyoruz:Sular köpürmemeliydi RüveydaKırılmamalıydı ıslak dalları hasret servilerininBen zehire alışkınım, şerbete değilRüyalar nefret eder avare duruşumdanKâbuslar çeker ancak derdimi yeryüzündeSen gün boyu simsiyah bir ufukla beraberBen her gece bir Mehdî türküsüyle çilekeşYargılamak için zeval kayıtlarınıİnkılâp bekliyorum*144*Prof. Dr. Nurullah Genç*9753621885*20. Baskı*
Leprom*https://imageserver.kitapyurdu.com/select.php?imageid=85011&width=500&isWatermarked=true*yayinlanma tarihi belirtilmemis*Kitabin fiyati belirtilmemis*Sinema ve medya yazılarıyla tanınmış olan M.Nedim Hazar'ın her biri sinema snopsisi olarak düşünülmüş hikayeleri. İlk kitabıyla Türk hikayeciliğine önemli katkılar getiren Hazar, hikayelerinde farklı tekniğinin yanında bir "hikmet arayışını" ortaya koyuyor. *175* M. Nedim Hazar*9753623348*1. Baskı*
Yüreğimdeki Cemre*https://imageserver.kitapyurdu.com/select.php?imageid=105005&width=500&isWatermarked=true*yayinlanma tarihi belirtilmemis*Kitabin fiyati belirtilmemis*Yüreğimdeki Cemre, özellikle sürçmeyen parlak dili, ayrıntıları yakalayan gözlemleriyle olay hikayelerini çevrelemekle kalmıyor, insan psikolojisinin derinliklerine de iniyor. *96* Necdet Ekici*9753622112*1. Baskı*
